,Date,State,Confirmed,Deceased,Recovered,State_Name
313,03-May-20,AP,58,0,47,Andhra Pradesh
314,03-May-20,AR,0,0,0,Arunachal Pradesh
315,03-May-20,AS,0,0,0,Assam
316,03-May-20,BR,36,0,7,Bihar
317,03-May-20,CH,3,1,0,Chandigarh
318,03-May-20,CT,14,0,0,Chhattisgarh
319,03-May-20,DD,0,0,0,Daman and Diu
320,03-May-20,DL,427,0,106,Delhi
321,03-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
322,03-May-20,GA,0,0,0,Goa
323,03-May-20,GJ,374,28,146,Gujarat
324,03-May-20,HP,0,0,1,Himachal Pradesh
325,03-May-20,HR,66,0,3,Haryana
326,03-May-20,JH,0,0,5,Jharkhand
327,03-May-20,JK,35,0,33,Jammu and Kashmir
328,03-May-20,KA,13,0,22,Karnataka
329,03-May-20,KL,0,0,1,Kerala
330,03-May-20,LA,19,0,0,Ladakh
331,03-May-20,LD,0,0,0,Lakshadweep
332,03-May-20,MH,678,27,115,Maharashtra
333,03-May-20,ML,0,0,0,Meghalaya
334,03-May-20,MN,0,0,0,Manipur
335,03-May-20,MP,49,5,174,Madhya Pradesh
336,03-May-20,MZ,0,0,0,Mizoram
337,03-May-20,NL,0,0,0,Nagaland
338,03-May-20,OR,2,0,4,Odisha
339,03-May-20,PB,330,1,5,Punjab
340,03-May-20,PY,0,0,1,Puducherry
341,03-May-20,RJ,114,3,114,Rajasthan
342,03-May-20,SK,0,0,0,Sikkim
343,03-May-20,TG,21,0,46,Telangana
344,03-May-20,TN,266,1,38,Tamil Nadu
345,03-May-20,TR,12,0,0,Tripura
346,03-May-20,TT,2952,140,911,Total
347,03-May-20,UN,0,0,0,State Unassigned
348,03-May-20,UP,158,0,56,Uttar Pradesh
349,03-May-20,UT,1,0,0,Uttarakhand
350,03-May-20,WB,276,74,-19,West Bengal
351,04-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
352,04-Apr-20,AP,28,0,0,Andhra Pradesh
353,04-Apr-20,AR,0,0,0,Arunachal Pradesh
354,04-Apr-20,AS,3,0,0,Assam
355,04-Apr-20,BR,1,0,0,Bihar
356,04-Apr-20,CH,0,0,3,Chandigarh
357,04-Apr-20,CT,1,0,0,Chhattisgarh
358,04-Apr-20,DD,0,0,0,Daman and Diu
359,04-Apr-20,DL,59,0,8,Delhi
360,04-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
361,04-Apr-20,GA,1,0,0,Goa
362,04-Apr-20,GJ,13,1,3,Gujarat
363,04-Apr-20,HP,7,0,0,Himachal Pradesh
364,04-Apr-20,HR,26,0,1,Haryana
